cod_municipio_ibge,nom_municipio,nom_regional,qtd_populacao_estimada
421900,URUSSANGA,SUL,21268
421910,VARGEAO,GRANDE OESTE,3573
421915,VARGEM,MEIO OESTE E SERRA CATARINENSE,2477
421917,VARGEM BONITA,MEIO OESTE E SERRA CATARINENSE,4492
421920,VIDAL RAMOS,ALTO VALE DO ITAJAI,6338
421930,VIDEIRA,MEIO OESTE E SERRA CATARINENSE,53065
421935,VITOR MEIRELES,ALTO VALE DO ITAJAI,4979
421940,WITMARSUM,ALTO VALE DO ITAJAI,3965
421950,XANXERE,GRANDE OESTE,50982
421960,XAVANTINA,MEIO OESTE E SERRA CATARINENSE,3933
421970,XAXIM,GRANDE OESTE,28706
421985,ZORTEA,MEIO OESTE E SERRA CATARINENSE,3363
422000,BALNEARIO RINCAO,SUL,12760
