country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-09,-25,8,-65,-49,-10,10
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-10,-52,-21,-72,-57,-2,9
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-11,-36,-16,-67,-61,-16,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-12,-38,-16,-68,-59,-17,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-13,-40,-20,-64,-63,-17,13
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-14,-38,-17,-61,-62,-17,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-15,-37,-14,-66,-61,-16,13
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-16,-39,-12,-62,-55,-11,11
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-17,-53,-25,-64,-62,-14,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-18,-38,-20,-66,-63,-15,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-19,-39,-19,-66,-61,-16,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-20,-36,-15,-54,-60,-15,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-21,-36,-15,-56,-60,-16,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-22,-40,-16,-72,-63,-15,14
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-23,-40,-13,-68,-56,-11,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-24,-53,-26,-67,-61,-13,13
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-25,-38,-19,-67,-62,-14,12
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-05-26,-39,-18,-67,-60,-14,12
